"title","duration","copyright_date"
"1218","",""
"# NINE","",""
"#1","",""
"(THEY CAN'T) DEFINE OUR LOVE","",""
"1 2 Y ALL","",""
"10% DIS","",""
"1-2-3-4 U","",""
"13TH FLOOR/GROWING OLD","",""
"2 THE SKY","",""
"2000 SEASONS PART ONE","",""
"2000 SEASONS PART TWO","",""
"2000BC","",""
"213 THA GANGSTA CLICC","",""
"2NITE","",""
"3 STRIKES","",""
"4 DAYS","",""
"43RD NEGATIVE CONFESSION","",""
"8 STEPS TO PERFECTION","",""
"89.9 DETRIMENTAL","",""
"8MS DIGITAL","",""
"919","",""
"9MM","",""
"A B C","",""
"A BRAND NEW DAY","",""
"A BRIGHTER DAY","",""
"A CLOSER WALK","",""
"A DEVIL ONCE SAID","",""
"A DREAM FOR RAHSAAN","",""
"A FRESH ANOINTING","",""
"A I D S","",""
"A JOURNEY INTO SOUND","",""
"A LOVE","",""
"A LOVE THANG","",""
"A NIGHT IN THE BRONX WITH LORD TARIQ AND PETEY GUN","",""
"A PRAYER FOR US","",""
"A SINGLE TEAR OF REMEMBRANCE","",""
"A SUMMER IN ZIMBABWE","",""
"A TYPICAL DAY IN SUNNDER WASHINGTON DC","",""
"ABC (LISTEN UP)","",""
"ABOUT DA GAME","",""
"ABOVE THE RIM","",""
"ABSOLUTELY","",""
"ABYSS","",""
"AFRICAN VIBE","",""
"AFTER ALL THIS TIME","",""
"AFTER BIRTH","",""
"AFTER PARTY","",""
"AFTER SCHOOL","",""
"AFTER SHE LEFT","",""
"AFTERMATH","",""
"AFTERNOON TEA","",""
"AGE AINT NUTTIN BUT A #","",""
"AIN T MY FAULT (REMIXED W/PEEDI CRAKK)","",""
"AIN T NEVER DID SHIT","",""
"AIN T ROCK AND ROLL","",""
"AIN T THE ONE TO PLAY","",""
"AIN'T NO WAY","",""
"AIRBORN RANGER","",""
"ALCOHOLIC DRIVE","",""
"ALL","",""
"ALL ABOUT YOU","",""
"ALL FOR NOTHING","",""
"ALL GOOD THINGS IN TIME","",""
"ALL I EVER THINK ABOUT","",""
"ALL I NEED","",""
"ALL I WANT IS YOU","",""
"ALL MY LOVE IS YOURS","",""
"ALL NIGHT LONG","",""
"ALL OR NOTHING","",""
"ALL SHE EVER WANTS","",""
"ALL THAT MATTERS","",""
"ALL THAT WE VE BEEN THROUGH","",""
"ALL UP IN MY WORLD LOVE SONG","",""
"ALONE","",""
"ALPHABETICAL SLAUGHTER","",""
"ALRIGHT","",""
"ALRIGHT WITH ME","",""
"ALWAYS NEVER ENOUGH","",""
"ALWAYS WANTED MORE","",""
"ALWAYS WILL","",""
"AM I WORTH IT","",""
"AMUSEMENT PARK","",""
"AN BA MANGO LA","",""
"AND I SAY","",""
"ANDRE","",""
"ANGEL ON ITS WAY","",""
"ANGELS MAKE THE WORLD GO ROUND","",""
"ANGER","",""
"ANNIVERSARY","",""
"ANOTHER BLUE","",""
"ANOTHER DAY","",""
"ANOTHER DAY LIKE THIS","",""
"ANOTHER YOU","",""
"ANSWERS","",""
"ANY BAR IN BIRMINGHAM","",""
"ANYTHING","",""
"ANYTHING","",""
"ANYTHING","",""
"ANYTHING GOES","",""
"ANYTHING GOES","",""
"ANYTHING IS POSSIBLE","",""
"APPRECIATE","",""
"APRILS KISS","",""
"ARE YOU USING ME?","",""
"ARMED ROBBER","",""
"ART OF WAR","",""
"AS I EM","",""
"AS LONG AS THE PEOPLE GOT SOMETHING TO SAY","",""
"AS MY WORLD TURNS","",""
"AS OF YET","",""
"AS ONE","",""
"ASCENT","",""
"AT NIGHT","",""
"AT THE REVIVAL","",""
"AUTOMATIC","",""
"AVEC TOI (JE ME SENS VIVRE)","",""
"AZIATIC","",""
"B B GUN","",""
"B F O","",""
"BABY BABY","",""
"BABY BABY BABY","",""
"BABY DO THESE THINGS","",""
"BABY IF YOURE READY","",""
